,Country,NumericValue,Low,High,Year
297,NAM,14.0,6.0,26.0,2019
298,NER,22568.0,15300.0,34200.0,2019
299,NGA,187428.0,152000.0,239000.0,2019
300,NIC,1.0,,,2019
301,NPL,0.0,,,2019
302,OMN,0.0,,,2019
303,PAK,544.0,280.0,890.0,2019
304,PAN,0.0,,,2019
305,PER,35.0,17.0,61.0,2019
306,PHL,31.0,13.0,56.0,2019
307,PNG,2250.0,960.0,3970.0,2019
308,PRK,0.0,,,2019
309,PRY,0.0,,,2019
310,RWA,3143.0,2970.0,3400.0,2019
311,SAU,0.0,,,2019
312,SDN,6673.0,2240.0,14400.0,2019
313,SEAR,9256.0,5000.0,15000.0,2019
314,SEN,4251.0,4070.0,4490.0,2019
315,SLB,158.0,79.0,270.0,2019
316,SLE,7236.0,6330.0,8300.0,2019
317,SLV,0.0,,,2019
318,SOM,2311.0,940.0,4260.0,2019
319,SSD,7095.0,4380.0,11900.0,2019
320,STP,0.0,,,2019
321,SUR,0.0,,,2019
322,SWZ,0.0,,,2019
323,SYR,0.0,,,2019
324,TCD,11621.0,9670.0,14300.0,2019
325,TGO,3703.0,3220.0,4310.0,2019
326,THA,13.0,,,2019
327,TJK,0.0,,,2019
328,TKM,0.0,,,2019
329,TLS,0.0,,,2019
330,TUR,0.0,,,2019
331,TZA,24699.0,22600.0,27700.0,2019
332,UGA,17282.0,15500.0,19800.0,2019
333,UZB,0.0,,,2019
334,VEN,351.0,180.0,530.0,2019
335,VNM,6.0,3.0,10.0,2019
336,VUT,0.0,,,2019
337,WPR,2558.0,1300.0,4300.0,2019
338,YEM,2108.0,900.0,3900.0,2019
339,ZAF,79.0,,,2019
340,ZMB,8244.0,7560.0,9190.0,2019
341,ZWE,2003.0,750.0,3860.0,2019
342,AFG,110.0,45.0,190.0,2020
343,AFR,599400.0,559000.0,722000.0,2020
344,AGO,14853.0,9990.0,23700.0,2020
345,AMR,418.0,296.0,556.0,2020
346,ARE,0.0,,,2020
347,ARG,0.0,,,2020
348,ARM,0.0,,,2020
349,AZE,0.0,,,2020
350,BDI,5792.0,4640.0,7810.0,2020
351,BEN,10585.0,8870.0,12700.0,2020
352,BFA,21402.0,14300.0,33100.0,2020
353,BGD,15.0,7.0,25.0,2020
354,BLZ,0.0,,,2020
355,BOL,6.0,2.0,11.0,2020
356,BRA,51.0,,,2020
357,BTN,0.0,,,2020
358,BWA,4.0,1.0,8.0,2020
359,CAF,5130.0,3180.0,8970.0,2020
360,CHN,0.0,,,2020
361,CIV,15110.0,11800.0,19300.0,2020
