measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Ethiopia,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,India,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Bangladesh,Both,All ages,Diabetes mellitus,Number,2021,40096.236592701294,48478.98860991512,32464.689683276167
Deaths,Congo,Both,All ages,Rheumatoid arthritis,Number,2018,0.9053364273621218,10.669391635591067,0.2650502201338729
Deaths,Bangladesh,Both,All ages,Asthma,Number,2021,12941.841566766023,20221.126882232802,8366.902751619866
Deaths,Nigeria,Both,All ages,Stroke,Number,2019,72894.10687167065,90481.29596684925,58910.67947319583
Deaths,Pakistan,Both,All ages,COVID-19,Number,2021,220075.2928020729,269736.2895720822,186838.23781290057
Deaths,Egypt,Both,All ages,Acute hepatitis,Number,2019,2523.8074174390827,4383.763456759267,989.1380972314399
Deaths,India,Both,All ages,Acute hepatitis,Number,2017,38261.748485575576,49258.455136255485,30838.34078821145
Deaths,Ethiopia,Both,All ages,COVID-19,Number,2021,113312.91759823287,122891.6817880702,103617.19749677944
Deaths,India,Both,All ages,Diabetes mellitus,Number,2017,284721.0293065258,305196.02821256185,260280.78255627095
Deaths,Congo,Both,All ages,Measles,Number,2018,114.36628363064233,263.64285444030605,34.8342754746737
Deaths,Congo,Both,All ages,Malaria,Number,2018,2569.080988193947,4942.547516087668,910.5102013431328
Deaths,China,Both,All ages,Asthma,Number,2018,25651.88710452682,30622.974956933802,21167.369823082234
Deaths,Nigeria,Both,All ages,Asthma,Number,2019,6347.482400894636,8423.353012342166,4992.175782799984
Deaths,Bangladesh,Both,All ages,Measles,Number,2017,196.11062058451404,490.4604467142039,60.101021933048244
Deaths,Bangladesh,Both,All ages,Malaria,Number,2017,3969.158339767098,7609.076770575849,2025.5634457712736
Deaths,Pakistan,Both,All ages,Tuberculosis,Number,2017,71111.42922444678,88903.685725048,49335.88059885482
Deaths,Pakistan,Both,All ages,Measles,Number,2017,1077.1751364818867,2584.817327348218,329.1230975795578
Deaths,Japan,Both,All ages,Tuberculosis,Number,2017,3875.9476118354005,4295.63008008312,3111.7987313212247
Deaths,Pakistan,Both,All ages,Stroke,Number,2017,94514.52316629332,113652.42400609516,78626.95171432065
Deaths,Japan,Both,All ages,Stroke,Number,2017,138600.53474423155,154561.18176166364,110226.23874361879
Deaths,Ethiopia,Both,All ages,Malaria,Number,2021,6054.430045198381,14426.500669248013,1638.78734951802
Deaths,China,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
Deaths,China,Both,All ages,Measles,Number,2019,2.284752441128247,3.3866366124566096,1.4714359989291872
Deaths,China,Both,All ages,Malaria,Number,2019,0.0,0.0,0.0
Deaths,China,Both,All ages,Asthma,Number,2019,25754.32597286482,31086.210887421083,20913.089985652045
Deaths,Bangladesh,Both,All ages,COVID-19,Number,2021,130340.6885561922,158231.89177565908,111654.27122518817
Deaths,Egypt,Both,All ages,Measles,Number,2018,62.12783288049937,146.94961940450975,18.446876272229606
Deaths,Egypt,Both,All ages,Malaria,Number,2018,0.0,0.0,0.0
Deaths,Nigeria,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Nigeria,Both,All ages,Rheumatoid arthritis,Number,2021,2.6208339548106343,5.205344438006692,1.5051452428834198
Deaths,Pakistan,Both,All ages,Asthma,Number,2017,13650.917254189182,26655.277160402922,8744.826615273965
Deaths,Indonesia,Both,All ages,Tuberculosis,Number,2019,89760.20281942119,105822.93170441999,74348.22168790778
Deaths,Bangladesh,Both,All ages,Asthma,Number,2017,12453.968591103952,19364.381498192084,7968.96464526709
Deaths,China,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Egypt,Both,All ages,Asthma,Number,2018,3009.8619313051095,3315.7006044724876,2710.5954122461208
Deaths,Indonesia,Both,All ages,Stroke,Number,2019,386410.5318826912,438907.19652379537,320871.9840161729
Deaths,Pakistan,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Congo,Both,All ages,Asthma,Number,2018,299.22002901685175,482.74639450111465,202.23336376313043
Deaths,India,Both,All ages,Rheumatoid arthritis,Number,2021,7678.587138565069,11355.886761436052,5624.9345399020485
Deaths,Pakistan,Both,All ages,Rheumatoid arthritis,Number,2017,925.6040669673366,1276.7457352102351,589.71645671476
Deaths,Egypt,Both,All ages,Tuberculosis,Number,2018,969.2749314934864,1082.383070518341,874.9609150108757
Deaths,Egypt,Both,All ages,Stroke,Number,2018,70733.9354928782,79336.54421077165,63115.73291598396
Deaths,Congo,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
Deaths,Bangladesh,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Viet Nam,Both,All ages,Rheumatoid arthritis,Number,2017,181.92394879781457,247.61586699473776,101.60356073936325
Deaths,Viet Nam,Both,All ages,Measles,Number,2017,138.14730034915152,322.3104015087803,43.16086184349989
Deaths,Viet Nam,Both,All ages,Malaria,Number,2017,31.56529519624073,57.33937272183906,14.213574907068894
Deaths,Congo,Both,All ages,Rheumatoid arthritis,Number,2019,0.9217483428511235,10.746445308186763,0.26892159871950433
Deaths,Nigeria,Both,All ages,Acute hepatitis,Number,2021,3169.729669569311,4980.488250833779,1639.382714419302
