,Country,NumericValue,Low,High,Year
258,DOM,1592.0,1400.0,1800.0,2019
259,DZA,0.0,,,2019
260,ECU,1803.0,,,2019
261,EMR,5727478.0,4200000.0,8200000.0,2019
262,ERI,200382.0,129000.0,279000.0,2019
263,ETH,2645193.0,1472000.0,3979000.0,2019
264,EUR,0.0,,,2019
265,GAB,512184.0,269000.0,897000.0,2019
266,GEO,0.0,,,2019
267,GHA,5242734.0,3917000.0,6942000.0,2019
268,GIN,4425904.0,2977000.0,6386000.0,2019
269,GLOBAL,232401031.0,213000000.0,255000000.0,2019
270,GMB,109975.0,85000.0,137000.0,2019
271,GNB,146986.0,49000.0,342000.0,2019
272,GNQ,347501.0,192000.0,584000.0,2019
273,GTM,2428.0,2200.0,2800.0,2019
274,GUF,248.0,220.0,290.0,2019
275,GUY,26307.0,22000.0,31000.0,2019
276,HND,444.0,350.0,540.0,2019
277,HTI,17703.0,12000.0,24000.0,2019
278,IDN,774340.0,706000.0,851000.0,2019
279,IND,5549896.0,3697000.0,7805000.0,2019
280,IRN,0.0,,,2019
281,IRQ,0.0,,,2019
282,KAZ,0.0,0.0,0.0,2019
283,KEN,3037541.0,2168000.0,4130000.0,2019
284,KGZ,0.0,,,2019
285,KHM,140073.0,121000.0,164000.0,2019
286,KOR,485.0,,,2019
287,LAO,10541.0,7600.0,14000.0,2019
288,LBR,1954336.0,1383000.0,2690000.0,2019
289,LKA,0.0,,,2019
290,MAR,0.0,,,2019
291,MDG,2032961.0,1390000.0,2723000.0,2019
292,MEX,618.0,,,2019
293,MLI,6863255.0,4844000.0,9742000.0,2019
294,MMR,78326.0,63000.0,94000.0,2019
295,MOZ,9421431.0,7228000.0,12000000.0,2019
296,MRT,184057.0,65000.0,356000.0,2019
297,MWI,3867128.0,2661000.0,5358000.0,2019
298,MYS,0.0,,,2019
299,MYT,0.0,0.0,0.0,2019
300,NAM,5705.0,4100.0,8100.0,2019
301,NER,7631511.0,4731000.0,11760000.0,2019
302,NGA,61379283.0,47440000.0,78810000.0,2019
303,NIC,16717.0,14000.0,20000.0,2019
304,NPL,464.0,380.0,590.0,2019
305,OMN,0.0,,,2019
306,PAK,640380.0,507000.0,868000.0,2019
307,PAN,1849.0,1800.0,2000.0,2019
308,PER,45729.0,33000.0,64000.0,2019
309,PHL,13536.0,9500.0,18000.0,2019
310,PNG,1124906.0,784000.0,1490000.0,2019
311,PRK,1869.0,,,2019
312,PRY,0.0,,,2019
313,RWA,5279485.0,3862000.0,6772000.0,2019
314,SAU,38.0,,,2019
315,SDN,2835630.0,1360000.0,5217000.0,2019
316,SEAR,6429743.0,4600000.0,8800000.0,2019
317,SEN,672221.0,455000.0,913000.0,2019
318,SLB,139245.0,108000.0,188000.0,2019
319,SLE,2857585.0,1953000.0,4016000.0,2019
320,SLV,0.0,,,2019
321,SOM,957015.0,624000.0,1400000.0,2019
322,SSD,2938499.0,1652000.0,4811000.0,2019
323,STP,2732.0,,,2019
324,SUR,104.0,,,2019
325,SWZ,235.0,,,2019
326,SYR,0.0,,,2019
327,TCD,3277966.0,1854000.0,5393000.0,2019
328,TGO,1966638.0,1351000.0,2775000.0,2019
329,THA,3644.0,,,2019
330,TJK,0.0,,,2019
331,TKM,0.0,,,2019
332,TLS,0.0,,,2019
333,TUR,0.0,,,2019
334,TZA,7040493.0,5051000.0,9508000.0,2019
335,UGA,11282360.0,7420000.0,17810000.0,2019
336,UZB,0.0,,,2019
337,VEN,467421.0,415000.0,538000.0,2019
338,VNM,3856.0,3600.0,4300.0,2019
339,VUT,1047.0,800.0,1400.0,2019
340,WPR,1433689.0,1091000.0,1811000.0,2019
341,YEM,831533.0,582000.0,1200000.0,2019
342,ZAF,4821.0,,,2019
343,ZMB,3205531.0,2122000.0,4623000.0,2019
344,ZWE,782740.0,471000.0,1125000.0,2019
345,AFG,253150.0,195000.0,321000.0,2020
346,AFR,231933554.0,208000000.0,260000000.0,2020
347,AGO,8410016.0,5591000.0,12200000.0,2020
348,AMR,646320.0,599000.0,700000.0,2020
349,ARE,0.0,,,2020
350,ARG,0.0,,,2020
351,ARM,0.0,,,2020
352,AZE,0.0,,,2020
353,BDI,3708079.0,2352000.0,5573000.0,2020
354,BEN,4781051.0,3327000.0,6563000.0,2020
355,BFA,8122685.0,5375000.0,11720000.0,2020
356,BGD,7545.0,6400.0,8800.0,2020
357,BLZ,0.0,,,2020
358,BOL,16506.0,13000.0,20000.0,2020
359,BRA,167113.0,150000.0,181000.0,2020
360,BTN,22.0,,,2020
361,BWA,1776.0,1200.0,2700.0,2020
362,CAF,1795225.0,926000.0,3142000.0,2020
363,CHN,0.0,,,2020
364,CIV,7398482.0,4158000.0,12240000.0,2020
365,CMR,6601170.0,4187000.0,9884000.0,2020
366,COD,30103686.0,23120000.0,38300000.0,2020
367,COG,1304055.0,820000.0,1963000.0,2020
368,COL,105996.0,81000.0,132000.0,2020
369,COM,4546.0,,,2020
370,CPV,0.0,,,2020
371,CRI,90.0,,,2020
372,DJI,72332.0,,,2020
373,DOM,1019.0,870.0,1200.0,2020
