measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,2019,1541583.536542442,1625851.7861611268,1442924.7529613287
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2021,1656634.5255417156,1759551.409745094,1537698.765394509
Deaths,Global,Both,All ages,Measles,Number,2021,56049.274448784316,87053.75409689858,32379.6714527491
Deaths,Global,Both,All ages,Stroke,Number,2021,7252675.540862945,7808179.59447613,6566884.207830604
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2017,34792.12471286862,40480.23365013889,29259.67590205401
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Number,2021,1952676.9993192917,4984737.475120099,512981.21767268534
Deaths,Global,Both,All ages,Diabetes mellitus type 1,Number,2021,48511.30055233202,53957.72368893249,43623.65240247262
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,2021,1608123.2249893844,1708293.6406591984,1493437.6984882753
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Number,2017,1702692.2866881397,4425662.545246062,437628.0580042858
Deaths,Global,Both,All ages,Asthma,Number,2017,433463.33392217587,562734.782394603,352253.5762566585
Deaths,Global,Both,All ages,Diabetes mellitus type 1,Number,2017,47977.81094521164,52539.536861053384,43196.034864613175
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,2017,1428736.006376435,1494382.4750249707,1343853.738114809
Deaths,Global,Both,All ages,Acute hepatitis,Number,2017,86394.7322108602,106223.50758254183,72908.31887302051
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2017,38530.73210668645,55503.246162889605,28147.48719402421
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2017,38285.45442914819,46829.86842841707,28809.45975312041
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2017,5964.504921823325,10174.924864098703,2407.7298369829755
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2017,3614.040753202281,6472.935723870593,1922.4857515977403
Deaths,Global,Both,All ages,Asthma,Number,2021,436192.9483950869,555604.0797882279,357795.38844017615
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2017,1476713.817321647,1542942.5427357736,1393044.322872524
Deaths,Global,Both,All ages,COVID-19,Number,2021,7887553.952962122,8403574.74966847,7507141.196795269
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis,Number,2018,4624820.646613862,5884936.2320948625,3699672.9747732976
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis A,Number,2018,2180877.968508276,3305872.8382917796,1496951.2278212924
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis B,Number,2018,1944204.7480575496,2376356.395878579,1486759.8863828238
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis C,Number,2018,280823.0471165519,500850.9634648796,109414.32040229598
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis E,Number,2018,218914.88293148077,383759.7771460436,108613.2503654625
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus,Number,2018,35119771.99575041,36762602.75540612,33497911.385216344
YLLs (Years of Life Lost),Global,Both,All ages,Tuberculosis,Number,2018,46027896.77384791,50404950.58499467,41979812.71322727
YLLs (Years of Life Lost),Global,Both,All ages,Measles,Number,2018,8668656.33776264,17992137.76225615,3095895.708688456
YLLs (Years of Life Lost),Global,Both,All ages,Stroke,Number,2018,139879543.416243,148287825.5194612,130822381.03426474
YLLs (Years of Life Lost),Global,Both,All ages,Asthma,Number,2018,11394661.13062255,14656884.37587464,9497139.235967627
YLLs (Years of Life Lost),Global,Both,All ages,Rheumatoid arthritis,Number,2018,693183.8281516264,807117.2205896858,590835.9977255667
YLLs (Years of Life Lost),Global,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 1,Number,2018,2255370.090137121,2486060.9535501385,2001368.9227509676
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus type 2,Number,2018,32864401.905613303,34325768.39137646,31316407.07660175
YLLs (Years of Life Lost),Global,Both,All ages,Tuberculosis,Number,2021,42592435.65997049,48100942.882587,38093887.65505664
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis,Number,2021,3831873.874634965,5192383.400117226,2950477.19480303
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis A,Number,2021,1590989.3697440666,2583709.66006315,1059241.004625663
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis B,Number,2021,1787128.992679606,2236494.580699609,1306352.5310246279
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis C,Number,2021,254798.52732745584,440162.2061229981,107639.43455213586
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis E,Number,2021,198956.9848838302,347423.61416856607,99263.24046909492
YLLs (Years of Life Lost),Global,Both,All ages,Rheumatoid arthritis,Number,2021,720834.1101905539,828117.5039878153,607330.1584611326
YLLs (Years of Life Lost),Global,Both,All ages,Tuberculosis,Number,2019,44645538.24828046,49708925.35360744,40548142.61733924
YLLs (Years of Life Lost),Global,Both,All ages,Tuberculosis,Number,2017,47219519.06852606,51373435.03644449,43197464.94837335
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis,Number,2019,4349558.36680913,5749233.136752058,3441182.809269359
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis A,Number,2019,1935054.6597696105,3025655.076608831,1318874.985622755
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis B,Number,2019,1920772.2990552199,2381464.3845090996,1442479.3824636817
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis C,Number,2019,274585.0618723095,488318.38070786756,107257.43168176853
YLLs (Years of Life Lost),Global,Both,All ages,Acute hepatitis E,Number,2019,219146.34611198364,385648.5504098212,105870.27216124568
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus,Number,2021,37775109.53659728,40022912.848215684,35381841.25122914
YLLs (Years of Life Lost),Global,Both,All ages,Diabetes mellitus,Number,2019,36291072.13921665,38078476.76599981,34345687.41698895
YLLs (Years of Life Lost),Global,Both,All ages,Measles,Number,2021,4866627.013488033,7555399.412296877,2809547.451207321
YLLs (Years of Life Lost),Global,Both,All ages,Stroke,Number,2021,145246796.151412,156384761.7683372,133950053.7602756
